Id,Designator,Package,Quantity,Designation,Manufacturer,MPN,Mouser part no,,
,,,,,,,,,
2,"P5,P3",PINHEAD1-5,2,CONN_01X05,,,,,
4,L1,BOURNS-SRN3015,1,SRN3015-220M,Bourns,SRN3015-220M,652-SRN3015-220M,0.227,0.227
5,"C1,C12,C13,C14,C2,C3",C_0603,6,100n,AVX,885012206071,710-885012206071,0.021,0.126
6,"V5,V6,V7,V2,V3,V4",SOD-323,6,4148WS,Vishay,1N4148WS-HE3-08,78-1N4148WS-HE3-08,0.0076,0.0456
7,"R14,R15,R16,R41,R42,R43",R_0603,6,1k0,,,71-CRCW0603-1.0K-E3,0.02,0.12
8,"R7,R8,R9",R_2512,3,0R01,Bourns,CRA2512-FZ-R010ELF,652-CRA2512FZR010ELF,0.284,0.852
10,"V10,V9,V8",LED_0402,3,LED_ALT,,,755-SML-P11MTT86R,0.117,0.351
11,V1,SMA,1,STPS1L60A,STMicroelectronics,STPS1L60A,511-STPS1L60A,0.186,0.186
12,"C4,C6,C17,C5,C19",C_0805,5,220n,,,603-CC805KRX7R7BB224,0.037,0.185
13,C7,C_0805,1,47u,Yageo,CC0805MKX5R5BB476,603-CC805MKX5R5BB476,0.139,0.139
14,P2,PINHEAD1-6,1,CONN_01X06,Molex,22-28-4163,538-22-28-4163,0.607,0.607
15,"R1,R3,R5,R30,R32,R34,R47",R_0603,7,10R,,,71-CRCW0603-10-E3,0.02,0.14
16,"R2,R4,R6,R31,R33,R35",R_0603,6,62R,,,667-ERJ-3GEYJ620V,0.009,0.054
17,"R40,R29,R11,R12,R13,R36",R_0603,6,2k2,,,71-CRCW0603-2.21K-E3,0.02,0.12
18,"R17,R18,R19,R23,R24,R25,R48",R_0603,7,560R,,,603-RC0603FR-07560RL,0.003,0.021
19,"R20,R21,R22",R_0603,3,8k2,,,603-RC0603FR-078K2L,0.003,0.009
20,"R26,R27,R28",R_0603,3,15k,,,71-CRCW0603-15K-E3,0.02,0.06
21,"C9,C10,C11",C_0603,3,100p,,,710-885012206077,0.033,0.099
22,R10,R_0603,1,46k4,,,603-RC0603FR-0746K4L,0.003,0.003
23,C8,C_0603,1,1n0,,,80-C0603C102K5REC,0.039,0.039
24,"C22,C23,C24",C_0603,3,10p,,,77-VJ0603A100JXACBC,0.038,0.114
25,R38,R_0603,1,330R,,,71-CRCW0603-330-E3,0.02,0.02
26,R39,R_0603,1,39k,,,71-CRCW0603-39K-E3,0.02,0.02
27,"R44,R45,R46",R_0603,3,10k,,,71-CRCW0603-10K-E3,0.02,0.06
28,C16,C_0603,1,3n3,,,80-C0603C332K5REC,0.032,0.032
33,"Q1,Q5,Q3,Q2,Q6,Q4",SOT-669_LFPAK56,6,PSMN2R0-30YLD,Nexperia,PSMN2R0-30YLDX,771-PSMN2R0-30YLDX,0.442,2.652
35,D1,QFN-48-1EP_7x7mm_Pitch0.5mm,1,STSPIN32F0,STMicroelectronics,STSPIN32F0,511-STSPIN32F0,4.13,4.13
,,,,,,,TOTAL,,10.4116
